                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0883,                 5.0609,                 1.4618,                      0,                      0,                      0,                      0,                 2.7376,                 4.9633,                 1.2209,              1.764e-05,              1.764e-05,              1.764e-05
                      2,                 3.2297,                 5.0483,                 1.5512,                      0,                      0,                      0,                      0,                 2.6783,                 4.9585,                 1.1922,             3.7085e-05,             3.7085e-05,             3.7085e-05
                      3,                 2.9447,                 5.0275,                 1.3864,                      0,                      0,                      0,                      0,                 2.6096,                 4.9469,                 1.1627,             5.1873e-05,             5.1873e-05,             5.1873e-05
                      4,                 3.0675,                 4.9993,                  1.348,                      0,                      0,                      0,                      0,                 2.5336,                 4.9282,                 1.1239,             6.2005e-05,             6.2005e-05,             6.2005e-05
                      5,                 2.8777,                 4.9477,                 1.2818,                      0,                      0,                      0,                      0,                 2.4491,                 4.9103,                 1.0989,             6.7479e-05,             6.7479e-05,             6.7479e-05
                      6,                 2.7828,                 4.9393,                 1.2609,                      0,                      0,                      0,                      0,                 2.3505,                 4.9002,                 1.0805,             6.8296e-05,             6.8296e-05,             6.8296e-05
                      7,                 2.5366,                  4.895,                 1.1857,                      0,                      0,                      0,                      0,                  2.267,                 4.8841,                 1.0616,             6.4457e-05,             6.4457e-05,             6.4457e-05
                      8,                 2.7104,                 4.8897,                 1.2107,                      0,                      0,                      0,                      0,                 2.2071,                 4.8727,                 1.0433,              5.596e-05,              5.596e-05,              5.596e-05
                      9,                 2.5173,                 4.8392,                 1.2214,                      0,                      0,                      0,                      0,                 2.1568,                 4.8678,                 1.0318,             4.2806e-05,             4.2806e-05,             4.2806e-05
                     10,                 2.5246,                 4.8581,                 1.2166,                      0,                      0,                      0,                      0,                 2.1568,                 4.8678,                 1.0318,             2.4996e-05,             2.4996e-05,             2.4996e-05
