                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6184,                 3.4726,                 1.1931,                 0.3942,                0.39322,                0.21596,                 0.0727,                 2.3449,                 2.2711,                 1.0915,             0.00036769,             0.00036769,             0.00036769
                      2,                 2.3803,                 2.0067,                 1.0595,                0.56073,                0.62682,                0.63766,                0.21875,                 2.2314,                 1.5178,                 1.0662,             0.00070149,             0.00070149,             0.00070149
                      3,                  2.252,                 1.4765,                 1.0661,                0.81588,                0.63797,                0.70847,                0.24439,                 2.1825,                 1.3222,                 1.0498,             0.00099863,             0.00099863,             0.00099863
                      4,                  2.195,                 1.3213,                  1.051,                0.72648,                0.80162,                0.80831,                0.29178,                 2.1387,                 1.1671,                 1.0406,             0.00094602,             0.00094602,             0.00094602
                      5,                 2.2102,                 1.2794,                 1.0514,                 0.7558,                0.79836,                0.83179,                0.30421,                  2.102,                 1.1159,                 1.0204,             0.00094602,             0.00094602,             0.00094602
                      6,                 2.1305,                 1.1887,                 1.0361,                0.77426,                0.80378,                0.82126,                0.29693,                 2.1067,                 1.0596,                 1.0186,             0.00089102,             0.00089102,             0.00089102
                      7,                 2.1404,                 1.1668,                 1.0245,                0.84766,                0.83602,                 0.8734,                0.31582,                 2.1244,                 1.0387,                 1.0194,             0.00083603,             0.00083603,             0.00083603
                      8,                 2.1136,                 1.1123,                 1.0245,                0.88684,                0.84511,                0.90138,                0.33069,                 2.1094,                0.99138,                 1.0176,             0.00078103,             0.00078103,             0.00078103
                      9,                 2.1087,                 1.1195,                 1.0186,                0.89541,                0.81791,                0.89344,                0.33348,                 2.0757,                0.99683,                 1.0055,             0.00072604,             0.00072604,             0.00072604
                     10,                 2.1114,                 1.0914,                 1.0159,                0.88722,                0.80947,                0.89445,                0.33393,                  2.075,                0.98758,                 1.0023,             0.00067104,             0.00067104,             0.00067104
                     11,                 2.0658,                 1.0458,                 1.0419,                0.85859,                0.83216,                0.88222,                0.31834,                 2.1155,                  1.043,                 1.0083,             0.00061605,             0.00061605,             0.00061605
                     12,                 2.0634,                 1.0308,                 1.0354,                0.92111,                 0.8439,                0.91663,                0.34774,                 2.0667,                0.97473,                 1.0007,             0.00056105,             0.00056105,             0.00056105
                     13,                 2.0422,                 1.0044,                 1.0392,                0.92932,                0.86829,                0.93414,                0.35618,                 2.0693,                0.95061,                 1.0009,             0.00050606,             0.00050606,             0.00050606
                     14,                  2.031,                0.99574,                 1.0382,                0.91128,                0.88613,                 0.9457,                0.35258,                 2.0648,                0.93753,                0.99734,             0.00045107,             0.00045107,             0.00045107
                     15,                 2.0324,                0.99301,                 1.0325,                0.90839,                0.90183,                0.94856,                0.36068,                 2.0522,                0.92913,                0.99719,             0.00039607,             0.00039607,             0.00039607
                     16,                 2.0187,                0.96246,                 1.0295,                0.92523,                 0.8742,                 0.9403,                0.35729,                 2.0535,                0.91262,                0.99918,             0.00034108,             0.00034108,             0.00034108
                     17,                 2.0202,                0.95743,                 1.0245,                0.91177,                0.90918,                0.94595,                0.36037,                 2.0572,                0.90323,                0.99502,             0.00028608,             0.00028608,             0.00028608
                     18,                  2.017,                0.94353,                 1.0286,                0.93577,                0.89197,                0.95054,                0.36386,                 2.0545,                0.90197,                0.99156,             0.00023109,             0.00023109,             0.00023109
                     19,                 2.0099,                0.93408,                  1.024,                  0.941,                0.87664,                0.94884,                0.36048,                 2.0645,                0.90356,                0.99478,             0.00017609,             0.00017609,             0.00017609
                     20,                 2.0029,                0.93172,                 1.0238,                0.93428,                0.91235,                0.95736,                0.36319,                  2.068,                0.88949,                0.99319,              0.0001211,              0.0001211,              0.0001211
