                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.051,                 1.0051,                 1.0102,                 0.9324,                0.91531,                0.95937,                0.36494,                 2.0755,                0.89865,                0.99965,             0.00036769,             0.00036769,             0.00036769
                      2,                  2.073,                 1.0202,                 1.0085,                0.93566,                0.91242,                0.95223,                0.35207,                  2.094,                0.91508,                 1.0065,             0.00073437,             0.00073437,             0.00073437
                      3,                 2.0615,                 1.0132,                 1.0121,                0.91023,                0.87973,                0.93218,                 0.3441,                 2.0899,                0.97471,                 1.0066,              0.0010974,              0.0010974,              0.0010974
                      4,                 2.0504,                 1.0119,                 1.0103,                0.91073,                0.90959,                0.93938,                0.34737,                 2.0873,                 0.9393,                 1.0103,              0.0010945,              0.0010945,              0.0010945
                      5,                 2.0499,                 1.0233,                  1.007,                0.93475,                  0.902,                0.94532,                0.35351,                 2.0826,                0.92001,                 1.0064,              0.0010945,              0.0010945,              0.0010945
                      6,                 2.0318,                0.99053,                 1.0095,                0.92926,                0.88096,                0.93955,                0.35383,                 2.0794,                0.91465,                0.99955,               0.001089,               0.001089,               0.001089
                      7,                 2.0343,                 1.0084,                 0.9989,                0.93713,                0.87809,                  0.934,                0.34744,                 2.0796,                0.91869,                 1.0115,              0.0010835,              0.0010835,              0.0010835
                      8,                 2.0303,                0.99149,                 1.0039,                0.93684,                0.89621,                0.94395,                   0.36,                 2.0529,                0.91182,                 0.9995,               0.001078,               0.001078,               0.001078
                      9,                 2.0418,                0.99297,                 1.0031,                0.92805,                0.90272,                0.94688,                0.35972,                 2.0686,                0.90439,                0.99561,              0.0010725,              0.0010725,              0.0010725
                     10,                 2.0488,                0.98894,                 1.0022,                0.91325,                 0.8826,                 0.9196,                0.34195,                 2.0767,                0.90085,                 1.0125,               0.001067,               0.001067,               0.001067
                     11,                 2.0592,                0.98323,                 1.0069,                 0.9325,                0.90227,                0.94713,                0.35818,                 2.0597,                0.90582,                 1.0006,              0.0010615,              0.0010615,              0.0010615
                     12,                  2.041,                0.97442,                 1.0045,                0.93007,                0.91293,                0.95219,                0.35948,                  2.071,                0.87959,                 1.0021,               0.001056,               0.001056,               0.001056
                     13,                 2.0417,                0.96771,                 1.0008,                0.94213,                0.89873,                 0.9469,                0.35476,                 2.0755,                0.89734,                0.99762,              0.0010505,              0.0010505,              0.0010505
                     14,                 2.0441,                0.96609,                 1.0105,                0.94431,                0.90774,                0.94911,                0.35853,                 2.0956,                0.88673,                 1.0066,               0.001045,               0.001045,               0.001045
                     15,                 2.0326,                 0.9531,                 1.0034,                0.94014,                0.91178,                0.94907,                0.36064,                 2.0683,                0.90687,                0.99872,              0.0010395,              0.0010395,              0.0010395
                     16,                 2.0317,                0.95202,                 1.0095,                0.92602,                0.91212,                0.94038,                0.33286,                 2.1989,                0.89755,                  1.025,               0.001034,               0.001034,               0.001034
                     17,                 2.0409,                0.95786,                 1.0058,                0.93421,                0.91599,                0.95059,                0.36059,                 2.0471,                0.90472,                0.99595,              0.0010285,              0.0010285,              0.0010285
                     18,                 2.0123,                0.95996,                 1.0051,                  0.926,                0.92524,                0.94692,                0.35535,                 2.0574,                0.89471,                  0.999,               0.001023,               0.001023,               0.001023
                     19,                  2.017,                0.95595,                 1.0034,                 0.9539,                 0.9064,                0.95536,                0.36916,                 2.0603,                0.87548,                0.99635,              0.0010175,              0.0010175,              0.0010175
