                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1211,                 4.1036,                 1.6816,                0.03184,                0.15271,                0.02422,                0.00634,                 3.0695,                 3.2551,                 1.2525,             0.00036769,             0.00036769,             0.00036769
                      2,                 2.9364,                 2.9308,                 1.1224,                0.25767,                0.29656,                0.05241,                0.01575,                 2.6189,                 2.6396,                 1.0872,             0.00070149,             0.00070149,             0.00070149
                      3,                 2.7079,                 2.4411,                 1.0987,                0.43434,                0.37441,                0.24307,                0.07356,                 2.4578,                 2.1408,                 1.0617,             0.00099863,             0.00099863,             0.00099863
                      4,                 2.6111,                 2.1989,                 1.0855,                0.40689,                0.38802,                0.24228,                0.06783,                 2.5873,                 2.0416,                 1.0873,             0.00094602,             0.00094602,             0.00094602
                      5,                   2.56,                 1.9909,                 1.0761,                0.65505,                0.49917,                0.51852,                0.15787,                 2.3542,                 1.7009,                 1.0453,             0.00094602,             0.00094602,             0.00094602
                      6,                  2.515,                 1.8778,                 1.0689,                0.69891,                0.49483,                0.47484,                0.13501,                 2.4902,                 1.6724,                 1.0734,             0.00089102,             0.00089102,             0.00089102
                      7,                 2.5209,                  1.747,                 1.0545,                0.74523,                0.54635,                0.58251,                0.17725,                 2.3453,                 1.4492,                 1.0355,             0.00083603,             0.00083603,             0.00083603
                      8,                 2.4606,                 1.6804,                 1.0542,                0.66157,                0.52835,                0.50809,                0.14763,                 2.4114,                 1.5643,                 1.0445,             0.00078103,             0.00078103,             0.00078103
                      9,                 2.4309,                 1.6175,                 1.0385,                0.71214,                0.57318,                0.63848,                0.20074,                 2.2609,                 1.4212,                 1.0112,             0.00072604,             0.00072604,             0.00072604
                     10,                 2.4528,                 1.6314,                 1.0391,                0.72618,                0.58322,                 0.6523,                0.19698,                 2.3091,                 1.3941,                 1.0232,             0.00067104,             0.00067104,             0.00067104
                     11,                 2.3839,                 1.5962,                 1.0684,                0.73603,                0.55051,                0.63973,                0.19501,                 2.3197,                 1.4117,                 1.0183,             0.00061605,             0.00061605,             0.00061605
                     12,                 2.3557,                  1.501,                 1.0588,                0.62425,                0.61768,                0.65567,                0.19543,                 2.3424,                 1.3634,                  1.021,             0.00056105,             0.00056105,             0.00056105
                     13,                 2.3207,                 1.4602,                 1.0532,                0.63901,                0.69877,                0.69149,                0.21534,                 2.2725,                 1.3175,                 1.0126,             0.00050606,             0.00050606,             0.00050606
                     14,                 2.3039,                 1.4223,                 1.0543,                0.68038,                0.66158,                0.69996,                0.21341,                 2.2917,                 1.3297,                 1.0107,             0.00045107,             0.00045107,             0.00045107
                     15,                 2.3115,                 1.4262,                 1.0473,                0.65963,                 0.6704,                0.67985,                0.21381,                 2.2583,                  1.328,                 1.0115,             0.00039607,             0.00039607,             0.00039607
                     16,                 2.2975,                 1.3829,                 1.0439,                0.69796,                0.67713,                0.70956,                0.22036,                 2.2639,                 1.3048,                 1.0063,             0.00034108,             0.00034108,             0.00034108
                     17,                  2.286,                 1.3739,                 1.0345,                0.73858,                0.70959,                0.72105,                0.21722,                 2.3055,                 1.2888,                  1.012,             0.00028608,             0.00028608,             0.00028608
                     18,                 2.2562,                 1.3486,                  1.035,                0.72079,                0.67843,                0.69832,                 0.2118,                 2.3084,                 1.3043,                 1.0139,             0.00023109,             0.00023109,             0.00023109
                     19,                 2.2509,                 1.3375,                 1.0302,                0.73092,                0.69183,                0.72323,                0.22664,                 2.2566,                 1.2938,                 1.0031,             0.00017609,             0.00017609,             0.00017609
                     20,                 2.2371,                 1.3245,                 1.0283,                0.73535,                0.70533,                0.73609,                0.23029,                 2.2456,                 1.2688,                  1.002,              0.0001211,              0.0001211,              0.0001211
