                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5478,                 3.3638,                 1.1665,                0.23576,                0.44634,                0.27473,                0.09379,                 2.2992,                 2.2694,                 1.0826,             0.00036769,             0.00036769,             0.00036769
                      2,                 2.3447,                 1.8338,                 1.0465,                0.58816,                0.68938,                0.67394,                 0.2344,                 2.1787,                 1.4887,                 1.0455,             0.00070149,             0.00070149,             0.00070149
                      3,                  2.222,                 1.3778,                 1.0538,                0.72935,                0.78533,                0.79975,                 0.2936,                 2.0843,                 1.1163,                 1.0232,             0.00099863,             0.00099863,             0.00099863
                      4,                 2.1641,                 1.2183,                  1.041,                0.82069,                0.80897,                0.85026,                0.30468,                 2.0964,                 1.0852,                 1.0223,             0.00094602,             0.00094602,             0.00094602
                      5,                 2.1575,                 1.1711,                 1.0319,                0.79698,                0.82295,                0.85803,                0.30718,                 2.1173,                 1.0712,                 1.0267,             0.00094602,             0.00094602,             0.00094602
                      6,                 2.1397,                 1.1141,                 1.0362,                0.85824,                0.87627,                0.90198,                0.33281,                 2.0943,                 1.0075,                 1.0109,             0.00089102,             0.00089102,             0.00089102
                      7,                 2.1239,                 1.1155,                 1.0174,                0.88058,                0.85329,                0.89606,                0.30859,                 2.1814,                 1.0487,                 1.0307,             0.00083603,             0.00083603,             0.00083603
                      8,                 2.0942,                 1.0631,                 1.0157,                0.91145,                0.88061,                0.92372,                0.35198,                 2.0486,                0.93035,                 1.0028,             0.00078103,             0.00078103,             0.00078103
                      9,                 2.0886,                 1.0494,                 1.0107,                0.91771,                0.89544,                0.94169,                 0.3533,                 2.0661,                0.93049,                 1.0061,             0.00072604,             0.00072604,             0.00072604
                     10,                 2.0934,                 1.0395,                 1.0109,                 0.9177,                0.90095,                0.94963,                0.36028,                 2.0514,                 0.9164,                 1.0004,             0.00067104,             0.00067104,             0.00067104
                     11,                 2.0647,                0.99811,                  1.038,                0.87867,                0.88278,                0.93347,                0.35116,                 2.0588,                0.95394,                 1.0016,             0.00061605,             0.00061605,             0.00061605
                     12,                 2.0615,                 0.9807,                 1.0325,                0.91214,                0.88717,                0.94272,                0.35972,                 2.0298,                0.89497,                0.99925,             0.00056105,             0.00056105,             0.00056105
                     13,                 2.0346,                0.94834,                 1.0333,                0.91355,                0.91005,                0.95939,                0.36809,                 2.0581,                0.89586,                 1.0007,             0.00050606,             0.00050606,             0.00050606
                     14,                 2.0316,                0.93169,                 1.0306,                0.92016,                0.90514,                 0.9557,                0.36365,                 2.0691,                0.90088,                0.99933,             0.00045107,             0.00045107,             0.00045107
                     15,                 2.0374,                0.94468,                 1.0283,                0.91915,                0.92229,                0.95874,                0.37358,                 2.0202,                0.88361,                0.98892,             0.00039607,             0.00039607,             0.00039607
                     16,                 2.0199,                0.91887,                 1.0267,                0.92972,                0.91882,                0.95961,                0.37169,                 2.0154,                0.86291,                0.98977,             0.00034108,             0.00034108,             0.00034108
                     17,                 2.0301,                0.90667,                 1.0204,                0.94375,                0.92523,                0.96609,                0.37417,                 2.0355,                0.85721,                0.99111,             0.00028608,             0.00028608,             0.00028608
                     18,                 2.0057,                0.90071,                 1.0223,                0.94002,                0.92942,                0.96617,                0.37565,                 2.0317,                0.85712,                0.98919,             0.00023109,             0.00023109,             0.00023109
                     19,                  1.997,                0.88584,                 1.0181,                0.95494,                0.92925,                 0.9703,                0.38137,                 2.0212,                0.83821,                0.98816,             0.00017609,             0.00017609,             0.00017609
                     20,                 1.9947,                 0.8761,                  1.019,                0.95598,                0.93485,                0.96925,                 0.3791,                 2.0333,                0.83969,                 0.9896,              0.0001211,              0.0001211,              0.0001211
